radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta;c_class_flares;m_class_flares;x_class_flares
73;15;50;A3.3;no;yes;no;no;no;no;no;no;0;0;0
80;27;40;A1.3;no;yes;no;no;no;no;no;no;0;0;0
73;47;10;A1.5;yes;yes;no;no;no;no;no;no;0;0;0
74;32;60;A2.5;yes;yes;no;no;no;no;no;no;0;0;0
74;51;160;A3.2;yes;yes;no;no;no;no;no;no;0;0;0
79;57;150;A2.7;yes;yes;no;no;no;no;no;no;1;0;0
85;79;260;B1.3;yes;yes;no;no;no;no;no;no;1;1;0
81;66;250;B1.5;yes;yes;no;no;no;no;no;no;0;0;0
76;58;170;A8.5;yes;yes;no;no;no;no;no;no;0;0;0
77;52;150;A7.8;yes;yes;no;no;no;no;no;no;0;0;0
78;50;130;A3.9;yes;yes;no;no;no;no;no;no;0;0;0
80;38;100;B1.1;yes;yes;no;no;no;no;no;no;0;0;0
78;43;40;B1.5;yes;yes;no;no;no;no;no;no;2;0;0
77;25;30;A8.4;no;yes;no;no;no;no;no;no;1;0;0
76;27;50;A4.8;no;yes;no;no;no;no;no;no;0;0;0
75;35;30;A3.6;yes;yes;no;no;no;no;no;no;0;0;0
73;29;50;A2.0;yes;yes;no;no;no;no;no;no;0;0;0
77;33;70;A2.2;no;yes;no;no;no;no;no;no;0;0;0
77;35;120;A4.5;no;yes;no;no;no;no;no;no;0;0;0
75;20;150;A4.2;yes;yes;no;no;no;no;no;no;0;0;0
74;16;110;A3.6;no;yes;no;no;no;no;no;no;0;0;0
74;15;120;A2.2;no;yes;no;no;no;no;no;no;0;0;0
74;15;110;A2.5;no;yes;no;no;no;no;no;no;0;0;0
75;17;90;A3.3;no;yes;no;no;no;no;no;no;0;0;0
73;36;30;A3.6;no;yes;no;no;no;no;no;no;0;0;0
73;23;20;A1.5;yes;yes;no;no;no;no;no;no;0;0;0
72;11;10;A2.3;yes;yes;no;no;no;no;no;no;0;0;0
71;11;10;A2.2;yes;no;no;no;no;no;no;no;0;0;0
70;26;40;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;27;30;A1.0;no;yes;no;no;no;no;no;no;0;0;0
71;31;40;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
71;29;30;A1.2;no;yes;no;no;no;no;no;no;0;0;0
72;38;70;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
70;31;30;A1.1;yes;yes;no;no;no;no;no;no;0;0;0
71;29;40;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
70;16;20;A0.0;no;yes;no;no;no;no;no;no;0;0;0
70;23;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
68;11;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;15;10;A0.0;yes;no;no;no;no;no;no;no;0;0;0
69;14;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
70;14;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
72;34;40;A0.0;no;yes;no;no;no;no;no;no;0;0;0
72;23;40;A1.4;no;yes;no;no;no;no;no;no;0;0;0
72;19;30;A2.1;no;yes;no;no;no;no;no;no;0;0;0
71;26;10;A1.4;no;yes;no;no;no;no;no;no;0;0;0
70;24;0;A1.0;yes;yes;no;no;no;no;no;no;1;0;0
70;0;0;A5.7;yes;no;no;no;no;no;no;no;0;0;0
70;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
70;12;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
69;12;0;A0.0;no;yes;no;no;no;no;no;no;0;0;0
70;12;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;11;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
68;11;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;26;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;25;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
70;31;50;A0.0;no;yes;no;no;no;no;no;no;0;0;0
69;17;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
69;0;0;A0.0;no;yes;no;no;no;no;no;no;0;0;0
67;0;0;A0.0;no;no;no;no;no;no;no;no;1;0;0
67;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
68;11;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
69;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
70;11;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
70;11;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
71;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
71;12;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
71;0;0;A4.3;no;yes;no;no;no;no;no;no;0;0;0
72;11;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;31;60;A1.7;yes;no;no;no;no;no;no;no;0;0;0
79;44;90;A3.9;no;yes;no;no;no;no;no;no;0;0;0
80;65;200;B1.1;yes;yes;no;yes;no;no;no;no;3;0;0
77;58;180;B1.1;no;yes;no;yes;no;no;no;no;0;0;0
75;53;180;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
74;26;10;A3.3;yes;yes;no;no;no;no;no;no;0;0;0
73;24;0;A4.5;yes;yes;no;no;no;no;no;no;0;0;0
71;12;0;A1.9;no;yes;no;no;no;no;no;no;0;0;0
70;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
71;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
71;11;10;A1.1;no;no;no;no;no;no;no;no;0;0;0
72;27;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
73;12;20;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
75;39;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
77;45;120;A2.8;yes;yes;no;no;no;no;no;no;0;0;0
78;55;140;A2.0;yes;yes;no;no;no;no;no;no;0;0;0
78;65;230;A4.1;yes;yes;no;no;no;no;no;no;0;0;0
78;61;90;A7.3;yes;yes;no;no;no;no;no;no;5;0;0
78;31;40;B2.0;yes;yes;no;no;no;no;no;no;4;0;0
80;53;220;B2.2;no;yes;no;no;no;no;no;no;1;0;0
81;57;140;A7.9;yes;yes;no;no;no;no;no;no;0;0;0
82;61;180;A5.3;yes;yes;no;no;no;no;no;no;0;0;0
80;49;140;A5.9;yes;yes;no;no;no;no;no;no;1;0;0
78;60;120;A3.6;yes;yes;no;no;no;no;no;no;0;0;0
78;33;100;A4.3;yes;yes;no;no;no;no;no;no;0;0;0
76;23;60;A5.3;yes;no;no;no;no;no;no;no;0;0;0
76;11;60;A1.7;yes;no;no;no;no;no;no;no;0;0;0
74;11;60;A1.3;yes;no;no;no;no;no;no;no;0;0;0
75;11;50;A1.0;yes;no;no;no;no;no;no;no;0;0;0
