radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta;c_class_flares;m_class_flares;x_class_flares
85;63;290;A5.4;no;yes;no;no;no;no;no;no;0;0;0
85;61;230;A5.3;yes;yes;no;yes;no;no;no;no;0;0;0
83;52;160;A5.5;yes;yes;no;yes;no;no;no;no;0;0;0
84;54;200;A5.5;yes;yes;no;no;no;no;no;no;4;0;0
81;44;180;A4.8;yes;yes;no;no;no;no;no;no;0;0;0
78;43;140;A3.5;yes;yes;no;no;no;no;no;no;0;0;0
77;39;130;A2.5;no;yes;no;no;no;no;no;no;0;0;0
77;22;70;A1.5;yes;yes;no;no;no;no;no;no;0;0;0
77;34;80;A2.6;yes;no;no;no;no;no;no;no;0;0;0
79;35;80;A5.5;yes;yes;no;no;no;no;no;no;0;0;0
82;0;0;B1.1;yes;no;no;no;no;no;no;no;0;0;0
86;25;340;B1.0;no;no;no;no;no;no;no;no;0;0;0
91;20;550;B1.1;yes;yes;no;no;no;no;no;no;4;0;0
95;45;770;B1.2;no;no;no;no;no;yes;no;no;0;0;0
98;71;1060;B1.3;no;yes;no;no;no;yes;no;no;1;0;0
105;46;930;B1.2;no;yes;no;no;no;yes;no;no;1;0;0
106;53;1060;B1.6;no;yes;no;no;no;yes;no;no;1;0;0
112;61;910;B2.4;no;yes;no;yes;no;no;no;no;2;0;0
112;55;970;B2.3;no;yes;no;no;no;yes;no;no;1;0;0
112;79;1040;B2.6;yes;yes;no;no;no;yes;no;no;1;0;0
109;61;1040;B2.0;no;yes;no;no;no;yes;no;no;1;0;0
109;50;830;B2.8;yes;yes;no;no;no;yes;no;no;4;0;0
110;66;870;B2.3;no;no;no;no;no;yes;no;no;5;1;0
100;55;400;B2.7;no;no;no;yes;no;yes;no;no;2;1;0
101;79;510;B2.4;no;yes;no;no;no;no;no;no;1;0;0
110;106;910;B4.1;no;yes;no;yes;no;no;no;no;8;0;0
119;106;870;B4.1;yes;yes;no;yes;no;no;no;no;7;1;0
125;117;1330;B4.4;yes;yes;no;yes;no;no;yes;no;9;2;0
117;110;1140;B3.4;yes;yes;no;no;no;yes;no;no;14;2;0
126;100;1280;B2.7;no;yes;no;yes;no;no;no;no;2;1;0
100;91;720;B6.8;no;yes;no;no;no;no;no;no;4;0;0
103;69;490;B2.9;yes;yes;no;no;no;no;no;no;9;1;0
99;70;520;B2.7;no;yes;no;no;no;no;no;no;7;2;0
90;45;360;B1.4;yes;yes;no;yes;no;no;no;no;3;1;0
84;46;400;A8.8;no;yes;no;yes;no;no;no;no;2;0;0
85;34;310;A6.9;no;yes;no;yes;no;no;no;no;0;0;0
84;22;170;A8.4;yes;yes;no;no;no;no;no;no;0;0;0
82;37;130;A9.4;yes;no;no;no;no;no;no;no;0;0;0
82;42;200;A6.9;yes;no;no;no;no;no;no;no;0;0;0
83;36;150;A6.6;yes;yes;no;no;no;no;no;no;0;0;0
85;40;170;A9.1;no;yes;no;yes;no;no;no;no;0;0;0
84;45;180;A7.3;no;yes;no;no;no;no;no;no;0;0;0
90;72;190;A9.9;no;yes;no;yes;no;no;no;no;1;0;0
96;51;270;B1.9;no;yes;no;yes;no;no;no;no;3;1;0
92;71;390;B1.5;yes;yes;no;yes;no;no;no;no;4;0;0
93;55;230;B1.1;yes;yes;no;yes;no;no;no;no;0;0;0
95;76;360;B1.2;yes;yes;no;yes;no;no;no;no;0;0;0
96;79;270;B1.6;no;yes;no;yes;no;no;no;no;1;0;0
94;95;500;B1.7;yes;yes;no;no;no;no;no;no;8;1;0
93;69;270;B1.8;yes;yes;no;yes;no;no;no;no;1;0;0
95;55;260;B2.0;yes;yes;no;yes;no;no;no;no;2;2;0
97;74;520;B1.7;yes;yes;no;no;no;no;no;no;8;0;0
105;77;630;B2.7;yes;yes;no;no;no;no;no;no;2;0;0
106;89;760;B1.9;yes;yes;no;no;no;no;no;no;4;0;0
109;94;1030;B1.6;no;yes;no;no;no;no;no;no;2;0;0
116;100;1130;B2.2;no;yes;no;no;no;no;no;no;4;0;0
116;99;1130;B2.2;yes;yes;no;yes;no;no;yes;no;2;0;0
114;103;1070;B2.4;no;yes;no;yes;no;no;yes;no;1;0;0
108;85;920;B1.5;no;yes;no;yes;no;no;yes;no;0;0;0
103;85;840;B1.6;yes;yes;no;yes;no;no;no;no;2;0;0
92;73;700;B1.3;yes;no;no;yes;no;no;no;no;0;0;0
94;44;560;B1.4;no;yes;no;yes;no;no;no;no;2;0;0
95;64;730;B1.3;no;yes;no;no;no;no;no;no;1;0;0
98;67;650;B1.8;yes;yes;no;no;no;no;no;no;2;1;0
91;59;530;B2.3;yes;yes;no;no;no;no;no;no;2;0;0
90;50;530;B1.5;no;yes;no;yes;no;no;no;no;5;0;0
87;43;500;B1.0;no;yes;no;no;no;no;no;no;1;0;0
86;47;400;A8.8;no;yes;no;no;no;no;no;no;0;0;0
83;53;340;A7.8;no;yes;no;yes;no;no;no;no;1;0;0
80;39;250;A6.1;no;yes;no;yes;no;no;no;no;1;0;0
78;19;30;A5.3;no;yes;no;no;no;no;no;no;0;0;0
77;14;20;A3.4;no;yes;no;no;no;no;no;no;0;0;0
77;12;10;A2.7;no;yes;no;no;no;no;no;no;1;0;0
79;0;0;A4.8;yes;no;no;no;no;no;no;no;1;0;0
77;11;60;A8.0;no;no;no;no;no;no;no;no;1;0;0
80;20;90;A5.7;yes;no;no;no;no;no;no;no;0;0;0
88;57;180;A8.6;no;yes;no;no;no;no;no;no;0;0;0
103;96;400;B1.5;no;yes;no;no;no;no;no;no;0;0;0
115;122;630;B2.0;yes;yes;no;no;no;no;no;no;2;0;0
124;168;1400;B3.1;yes;yes;no;no;no;no;no;no;6;0;0
130;179;1460;B3.7;yes;yes;no;yes;no;no;no;no;4;0;0
124;192;1150;B2.8;yes;yes;no;yes;no;no;no;no;2;0;0
127;181;1310;B2.9;yes;yes;no;no;no;no;yes;no;3;0;0
123;143;1130;B2.9;yes;yes;no;yes;no;no;no;no;9;0;0
125;149;1150;B3.0;yes;yes;no;yes;no;no;yes;no;5;1;0
110;111;1090;B2.3;yes;yes;no;yes;no;no;yes;no;2;0;0
107;126;810;B2.1;yes;yes;no;yes;no;no;yes;no;2;1;0
102;78;550;B1.9;yes;yes;no;no;no;no;yes;no;3;0;0
93;68;490;B3.2;yes;yes;no;yes;no;no;no;no;4;0;0
96;52;370;B7.8;yes;yes;no;no;no;no;yes;no;11;3;0
92;55;440;B5.8;yes;yes;no;no;no;no;yes;no;6;5;0
90;61;400;C1.0;yes;yes;no;no;no;no;yes;no;3;4;1
87;38;130;B5.9;yes;yes;no;yes;no;no;no;no;6;0;0
76;16;190;B1.0;yes;no;no;yes;no;no;no;no;4;1;0
74;12;60;A5.4;no;no;no;yes;no;no;no;no;1;0;0
72;0;0;A2.9;yes;no;no;no;no;no;no;no;0;0;0
71;0;0;A1.3;no;no;no;no;no;no;no;no;0;0;0
72;0;0;A1.3;no;no;no;no;no;no;no;no;0;0;0
73;0;0;A1.3;no;no;no;no;no;no;no;no;0;0;0
74;0;0;A1.8;no;no;no;no;no;no;no;no;0;0;0
80;20;90;A4.2;no;no;no;no;no;no;no;no;0;0;0
80;18;110;A4.3;no;yes;no;no;no;no;no;no;0;0;0
84;23;130;A6.3;no;yes;no;no;no;no;no;no;0;0;0
87;29;160;A8.9;no;yes;no;no;no;no;no;no;0;0;0
91;19;130;B1.7;no;yes;no;no;no;no;no;no;2;1;0
96;29;340;B1.8;no;yes;no;no;no;no;no;no;1;2;0
104;69;540;B1.8;yes;yes;no;no;no;no;no;no;1;0;0
105;62;580;B2.6;no;yes;no;yes;no;no;no;no;2;0;1
110;110;660;B2.2;no;yes;no;no;no;no;yes;no;2;1;0
111;102;780;B2.0;yes;yes;no;no;no;no;yes;no;2;1;0
110;112;660;B2.4;yes;yes;no;no;no;no;yes;no;3;1;0
109;102;570;B1.8;yes;yes;no;no;no;no;yes;no;3;1;0
106;85;500;B1.8;yes;yes;no;yes;no;no;no;no;2;0;0
99;74;480;B1.4;no;yes;no;yes;no;no;no;no;2;0;0
93;54;420;B1.2;yes;no;no;yes;no;no;no;no;0;0;0
92;67;400;B1.5;no;yes;no;yes;no;no;no;no;1;0;0
86;56;370;B1.0;no;yes;no;yes;no;no;no;no;0;0;0
83;51;360;A8.1;yes;yes;no;no;no;no;no;no;0;0;0
76;34;190;A5.5;yes;yes;no;no;no;no;no;no;0;0;0
76;35;220;A4.0;yes;no;no;no;no;no;no;no;0;0;0
76;47;210;A4.3;yes;no;no;no;no;no;no;no;0;0;0
75;33;110;A3.4;yes;yes;no;no;no;no;no;no;0;0;0
75;34;190;A3.6;yes;yes;no;no;no;no;no;no;0;0;0
76;49;170;A3.7;yes;yes;no;no;no;no;no;no;0;0;0
76;48;140;A3.3;yes;no;no;yes;no;no;no;no;0;0;0
77;42;110;A3.6;no;yes;no;yes;no;no;no;no;0;0;0
83;42;130;A6.1;no;yes;no;no;no;no;no;no;0;0;0
93;61;320;B1.0;yes;yes;no;no;no;no;no;no;0;0;0
98;74;680;B1.4;yes;yes;no;yes;no;no;no;no;0;0;0
99;77;680;B1.8;yes;yes;no;yes;no;no;no;no;1;0;0
105;85;860;B1.7;yes;yes;no;yes;no;no;no;no;0;2;0
112;55;860;B5.5;yes;yes;no;no;no;no;yes;no;3;1;0
99;87;700;B3.5;no;yes;no;yes;no;no;no;no;3;0;0
92;76;450;B1.9;yes;yes;no;yes;no;no;no;no;0;1;0
93;57;290;B1.8;yes;yes;no;no;no;no;no;no;3;0;0
92;91;280;B1.1;no;yes;no;yes;no;no;no;no;1;0;0
90;99;270;A8.7;yes;yes;no;yes;no;no;no;no;0;1;0
89;88;270;A9.1;yes;yes;no;no;no;no;yes;no;3;0;0
86;68;150;A8.5;no;yes;no;yes;no;no;no;no;1;0;0
84;48;120;A7.1;no;yes;no;yes;no;no;no;no;1;0;0
79;24;80;A4.4;yes;yes;no;yes;no;no;no;no;0;0;0
77;28;80;A3.7;yes;no;no;no;no;no;no;no;0;0;0
74;14;60;A2.7;no;yes;no;no;no;no;no;no;0;0;0
75;12;60;A3.2;no;yes;no;no;no;no;no;no;1;0;0
75;12;40;A7.6;no;yes;no;no;no;no;no;no;1;0;0
83;12;40;B3.4;yes;no;no;no;no;no;no;no;2;1;0
100;11;10;C1.0;no;yes;no;no;no;no;no;no;4;0;1
94;36;550;C1.0;yes;no;no;no;no;no;no;no;5;2;1
99;59;1450;B8.3;yes;no;no;yes;no;no;no;no;7;5;3
100;59;1420;C1.9;yes;no;no;no;no;no;yes;no;3;3;2
110;101;1270;C1.8;yes;no;no;no;no;no;yes;no;5;3;0
118;62;840;B4.9;yes;no;no;no;no;no;yes;no;9;4;0
114;95;860;B5.2;no;no;no;no;no;no;yes;no;9;1;2
117;86;1000;B5.2;yes;no;no;no;no;no;yes;no;8;1;0
119;77;880;B3.5;no;no;no;no;no;no;yes;no;12;2;1
112;51;620;B3.3;no;no;no;no;no;no;yes;no;6;3;0
104;59;470;B3.7;no;no;no;no;no;no;yes;no;6;1;0
102;50;510;B2.8;yes;no;no;no;no;yes;no;no;3;0;0
91;43;460;B1.8;no;yes;no;yes;no;no;no;no;2;0;0
88;23;250;B1.7;yes;yes;no;no;no;no;no;no;1;0;0
86;19;210;B1.1;no;yes;no;no;no;no;no;no;0;0;0
84;28;230;A5.9;no;yes;no;no;no;no;no;no;0;0;0
83;49;280;A3.8;no;yes;no;no;no;no;no;no;1;0;0
81;33;220;A2.7;no;yes;no;yes;no;no;no;no;0;0;0
81;28;170;A2.2;no;yes;no;no;no;no;no;no;0;0;0
81;25;160;A2.5;no;yes;no;no;no;no;no;no;0;0;0
77;23;210;A2.6;yes;yes;no;no;no;no;no;no;0;0;0
75;22;200;A1.3;yes;no;no;no;no;no;no;no;0;0;0
74;22;170;A1.4;yes;no;no;no;no;no;no;no;0;0;0
72;13;20;A1.8;yes;no;no;no;no;no;no;no;0;0;0
72;0;0;A1.8;no;yes;no;no;no;no;no;no;0;0;0
75;0;0;A4.6;no;no;no;no;no;no;no;no;0;0;0
74;0;0;A5.5;no;no;no;no;no;no;no;no;0;0;0
83;15;60;B1.6;no;no;no;no;no;no;no;no;0;0;0
81;31;150;B1.3;no;yes;no;no;no;no;no;no;1;0;0
80;28;130;A8.0;no;no;no;yes;no;no;no;no;0;0;0
79;31;120;A5.9;no;no;no;yes;no;no;no;no;0;0;0
78;24;80;A4.4;no;no;no;yes;no;no;no;no;0;0;0
79;16;30;A4.4;no;yes;no;no;no;no;no;no;0;0;0
79;11;20;A4.5;no;yes;no;no;no;no;no;no;0;0;0
78;25;50;A2.5;yes;no;no;no;no;no;no;no;1;0;0
77;17;40;A2.5;no;yes;no;no;no;no;no;no;1;0;0
78;11;10;A2.5;yes;no;no;no;no;no;no;no;0;0;0
78;11;50;A2.5;yes;no;no;no;no;no;no;no;0;0;0
80;11;70;A2.5;yes;no;no;no;no;no;no;no;0;0;0
79;11;50;A2.5;yes;no;no;no;no;no;no;no;0;0;0
78;11;40;A2.5;yes;no;no;no;no;no;no;no;0;0;0
78;11;30;A2.5;yes;no;no;no;no;no;no;no;0;0;0
78;30;50;A2.4;yes;no;no;no;no;no;no;no;0;0;0
77;15;20;A1.2;no;yes;no;no;no;no;no;no;0;0;0
75;15;20;A0.0;no;yes;no;no;no;no;no;no;0;0;0
75;13;20;A0.0;no;yes;no;no;no;no;no;no;0;0;0
74;11;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
73;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
73;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
72;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
72;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
73;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
74;11;10;A1.4;no;no;no;no;no;no;no;no;0;0;0
76;14;40;A2.6;yes;no;no;no;no;no;no;no;0;0;0
78;29;60;A2.9;no;yes;no;no;no;no;no;no;0;0;0
77;33;80;A3.5;no;yes;no;no;no;no;no;no;0;0;0
78;36;70;A3.5;no;yes;no;no;no;no;no;no;0;0;0
77;24;40;A3.3;no;yes;no;no;no;no;no;no;0;0;0
77;22;20;A3.2;yes;yes;no;no;no;no;no;no;0;0;0
79;18;50;A3.6;yes;no;no;no;no;no;no;no;0;0;0
82;34;70;A4.3;no;yes;no;no;no;no;no;no;1;0;0
79;31;180;A5.2;yes;yes;no;no;no;no;no;no;0;0;0
79;38;120;A4.9;no;yes;no;no;no;no;no;no;0;0;0
78;13;30;A4.1;yes;yes;no;no;no;no;no;no;1;0;0
78;0;0;A3.1;no;yes;no;no;no;no;no;no;0;0;0
79;0;0;A2.1;no;no;no;no;no;no;no;no;0;0;0
83;11;120;B1.2;no;no;no;no;no;no;no;no;2;0;0
88;16;120;B2.4;yes;no;no;no;no;no;no;no;6;1;0
92;26;610;B3.0;no;yes;no;no;no;no;no;no;7;3;0
100;32;810;B1.6;no;no;no;yes;no;no;no;no;10;1;0
94;58;740;B1.0;no;no;no;yes;no;no;no;no;1;0;0
101;62;720;B1.1;no;no;no;yes;no;no;no;no;2;0;0
101;51;690;B2.2;no;no;no;yes;no;no;no;no;4;1;0
102;52;650;B1.6;no;no;no;yes;no;no;no;no;1;0;0
96;56;700;B1.2;no;yes;no;yes;no;no;no;no;2;0;0
95;45;590;A9.8;yes;yes;no;yes;no;no;no;no;0;0;0
93;36;600;A8.2;no;yes;no;no;no;no;no;no;0;0;0
90;35;410;A6.4;no;yes;no;yes;no;no;no;no;0;0;0
87;30;320;A7.0;no;yes;no;no;no;no;no;no;0;0;0
80;39;210;A6.7;no;yes;no;no;no;no;no;no;0;0;0
81;30;80;A7.8;yes;yes;no;no;no;no;no;no;1;0;0
81;26;70;A5.7;no;yes;no;no;no;no;no;no;0;0;0
82;27;100;A4.6;yes;yes;no;no;no;no;no;no;0;0;0
85;27;90;A4.7;no;yes;no;no;no;no;no;no;1;0;0
95;57;240;B1.3;no;yes;no;no;no;no;no;no;0;1;0
98;79;390;B2.6;no;yes;no;yes;no;no;no;no;6;0;0
106;98;720;B3.6;no;yes;no;no;no;no;yes;no;3;4;0
101;75;550;B2.3;yes;yes;no;no;no;no;yes;no;5;0;0
95;91;580;B1.1;no;yes;no;yes;no;no;no;no;1;0;0
92;85;420;A8.9;yes;yes;no;yes;no;no;no;no;0;0;0
89;58;280;A7.7;yes;yes;no;yes;no;no;no;no;0;0;0
89;22;140;A6.7;no;yes;no;yes;no;no;no;no;0;0;0
90;51;220;B1.0;yes;no;no;no;no;no;no;no;2;0;0
89;61;280;B1.1;yes;yes;no;no;no;no;no;no;0;0;0
91;55;350;B1.4;yes;yes;no;no;no;no;no;no;0;0;0
93;51;340;B1.6;no;yes;no;no;no;no;no;no;1;0;0
88;41;270;A7.5;yes;yes;no;no;no;no;no;no;0;0;0
88;67;340;A5.7;yes;yes;no;no;no;no;no;no;1;0;0
90;55;340;A6.0;yes;yes;no;no;no;no;no;no;1;0;0
87;47;360;A4.2;no;yes;no;no;no;no;no;no;0;0;0
86;47;340;A4.7;no;yes;no;no;no;no;no;no;2;0;0
85;45;240;A3.7;no;yes;no;no;no;no;no;no;0;0;0
86;45;270;A4.4;no;yes;no;yes;no;no;no;no;0;0;0
90;63;390;A6.1;no;yes;no;no;no;no;no;no;0;0;0
88;53;370;A5.5;no;yes;no;no;no;no;no;no;0;0;0
87;45;260;A5.0;yes;yes;no;no;no;no;no;no;0;0;0
88;77;280;B1.1;yes;yes;no;no;no;no;no;no;2;0;0
93;47;290;B1.6;yes;yes;no;yes;no;no;no;no;0;0;0
92;70;340;B1.5;yes;yes;no;yes;no;no;no;no;0;0;0
92;77;300;B1.1;yes;yes;no;no;no;no;no;no;1;0;0
93;90;440;B1.2;yes;yes;no;no;no;no;no;no;0;0;0
92;78;350;B1.0;no;yes;no;no;no;no;no;no;0;0;0
89;61;230;A9.3;yes;yes;no;no;no;no;no;no;1;0;0
90;77;340;A9.3;yes;yes;no;no;no;no;no;no;1;0;0
90;67;260;A8.8;yes;yes;no;no;no;no;no;no;0;0;0
87;62;250;A6.5;yes;yes;no;no;no;no;no;no;0;0;0
87;41;200;A5.8;yes;yes;no;no;no;no;no;no;1;0;0
85;37;170;A4.9;yes;yes;no;no;no;no;no;no;0;0;0
85;39;120;A3.6;yes;no;no;no;no;no;no;no;0;0;0
84;25;120;A3.5;yes;yes;no;no;no;no;no;no;0;0;0
83;23;90;A3.3;yes;no;no;no;no;no;no;no;1;0;0
82;24;60;A2.8;yes;no;no;no;no;no;no;no;0;0;0
79;11;50;A2.1;yes;yes;no;no;no;no;no;no;0;0;0
78;11;40;A1.4;yes;no;no;no;no;no;no;no;0;0;0
78;11;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
78;11;20;A0.0;yes;no;no;no;no;no;no;no;0;0;0
77;12;20;A0.0;yes;no;no;no;no;no;no;no;0;0;0
77;12;20;A0.0;yes;no;no;no;no;no;no;no;0;0;0
77;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
77;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
81;32;70;A1.7;no;no;no;no;no;no;no;no;1;0;0
84;42;130;A3.0;no;yes;no;no;no;no;no;no;0;0;0
83;36;130;A3.0;no;yes;no;no;no;no;no;no;0;0;0
86;50;160;A2.9;no;yes;no;no;no;no;no;no;0;0;0
89;48;190;A5.5;no;yes;no;no;no;no;no;no;0;0;0
91;33;170;A5.0;yes;yes;no;no;no;no;no;no;0;0;0
94;28;200;A9.8;yes;yes;no;no;no;no;no;no;0;0;0
93;60;260;A7.8;no;yes;no;no;no;no;no;no;5;0;0
92;73;270;A6.2;yes;no;no;no;no;no;yes;no;1;0;0
93;62;340;B1.0;yes;yes;no;yes;no;no;no;no;1;0;0
89;42;210;A8.2;yes;no;no;yes;no;no;no;no;0;0;0
87;24;130;A7.4;yes;yes;no;no;no;no;no;no;0;0;0
84;29;110;A6.5;no;yes;no;no;no;no;no;no;0;0;0
80;11;30;A6.6;no;yes;no;no;no;no;no;no;0;0;0
80;0;0;A4.6;yes;no;no;no;no;no;no;no;0;0;0
79;0;0;A1.2;no;no;no;no;no;no;no;no;0;0;0
78;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
78;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
77;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
79;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
77;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
75;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
74;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
74;12;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
75;24;20;A0.0;yes;no;no;no;no;no;no;no;0;0;0
75;13;20;A0.0;yes;no;no;no;no;no;no;no;0;0;0
76;11;30;A0.0;no;yes;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
77;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
79;15;30;A1.3;no;no;no;no;no;no;no;no;0;0;0
79;27;50;A1.4;no;yes;no;no;no;no;no;no;0;0;0
79;23;20;A1.4;yes;yes;no;no;no;no;no;no;0;0;0
79;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
77;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
75;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A2.1;no;no;no;no;no;no;no;no;0;0;0
77;0;0;A2.1;no;no;no;no;no;no;no;no;0;0;0
77;11;10;A1.4;no;no;no;no;no;no;no;no;0;0;0
77;11;20;A1.3;yes;no;no;no;no;no;no;no;0;0;0
77;0;0;A1.3;yes;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
76;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
75;13;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
74;28;20;A0.0;yes;no;no;no;no;no;no;no;0;0;0
74;27;20;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
74;25;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
72;24;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
73;12;10;A0.0;yes;no;no;no;no;no;no;no;0;0;0
72;12;10;A0.0;yes;no;no;no;no;no;no;no;0;0;0
74;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
73;18;20;A0.0;no;no;no;no;no;no;no;no;0;0;0
73;14;20;A0.0;no;yes;no;no;no;no;no;no;0;0;0
74;34;30;A0.0;no;yes;no;no;no;no;no;no;0;0;0
74;22;30;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
72;22;20;A1.2;yes;no;no;no;no;no;no;no;0;0;0
72;24;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
72;27;30;A0.0;yes;no;no;no;no;no;no;no;0;0;0
75;40;100;A1.5;yes;yes;no;no;no;no;no;no;0;0;0
77;33;130;A3.0;yes;yes;no;no;no;no;no;no;0;0;0
77;39;120;A3.2;no;no;no;yes;no;no;no;no;6;0;0
76;49;130;A4.6;no;no;no;yes;no;no;no;no;0;0;0
77;36;80;A4.3;no;yes;no;yes;no;no;no;no;0;0;0
76;44;110;A4.1;no;yes;no;no;no;no;no;no;0;0;0
76;0;0;A3.2;no;yes;no;no;no;no;no;no;0;0;0
74;0;0;A1.8;no;no;no;no;no;no;no;no;0;0;0
74;0;0;A1.1;no;no;no;no;no;no;no;no;0;0;0
79;11;20;A6.6;no;no;no;no;no;no;no;no;0;0;0
82;31;200;A6.1;yes;no;no;no;no;no;no;no;0;0;0
84;35;210;A6.5;yes;yes;no;no;no;no;no;no;0;0;0
86;39;330;A6.8;yes;no;no;yes;no;no;no;no;0;0;0
87;39;320;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
91;68;490;A4.0;yes;no;no;no;no;no;yes;no;0;0;0
100;79;550;A4.0;yes;yes;no;no;no;no;yes;no;3;0;0
100;62;850;A4.0;no;yes;no;yes;no;no;yes;no;0;0;0
99;88;860;A4.0;no;yes;no;yes;no;no;no;no;2;0;0
99;105;800;A4.0;no;yes;no;yes;no;no;no;no;0;2;0
95;65;450;A4.0;no;yes;no;yes;no;no;no;no;1;0;0
91;57;380;A4.0;no;yes;no;no;no;no;no;no;0;0;0
89;46;120;A4.0;no;yes;no;no;no;no;no;no;0;0;0
89;70;210;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
90;73;220;A4.0;yes;yes;no;no;no;no;no;no;3;0;0
81;79;230;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
80;69;160;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
79;62;110;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
78;45;140;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
77;45;90;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
78;48;50;A4.0;no;yes;no;no;no;no;no;no;0;0;0
74;46;30;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
76;38;40;A4.0;yes;no;no;no;no;no;no;no;0;0;0
79;30;70;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
79;14;30;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
82;15;10;A4.0;no;yes;no;no;no;no;no;no;1;0;0
87;24;270;A4.0;no;yes;no;no;no;no;no;no;0;0;0
93;38;580;A4.0;yes;yes;no;no;no;no;no;no;1;0;0
95;33;660;A4.0;yes;no;no;yes;no;no;no;no;1;0;0
100;60;800;A4.0;no;yes;no;no;no;no;yes;no;6;1;0
101;63;550;A4.0;yes;no;no;yes;no;no;no;no;0;1;0
100;68;590;A4.0;yes;no;no;yes;no;no;no;no;2;0;0
101;64;390;A4.0;yes;yes;no;yes;no;no;no;no;2;0;0
100;62;470;A4.0;no;yes;no;yes;no;no;no;no;2;0;0
93;51;290;A4.0;no;yes;no;yes;no;no;no;no;1;0;0
89;58;290;A4.0;no;yes;no;yes;no;no;no;no;0;0;0
89;52;340;A4.0;no;yes;no;no;no;no;no;no;0;0;0
92;50;350;A4.0;yes;yes;no;no;no;no;no;no;1;0;0
87;61;210;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
87;69;160;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
86;64;160;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
85;53;210;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
83;56;180;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
78;27;130;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
76;36;110;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
76;38;30;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
74;24;30;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
72;11;30;A4.0;yes;yes;no;no;no;no;no;no;0;0;0
72;0;0;A4.0;yes;no;no;no;no;no;no;no;0;0;0
72;0;0;A4.0;no;no;no;no;no;no;no;no;0;0;0
72;0;0;A4.0;no;no;no;no;no;no;no;no;0;0;0
73;0;0;A4.0;no;no;no;no;no;no;no;no;0;0;0
75;15;20;A4.0;no;no;no;no;no;no;no;no;0;0;0
