,year,month,date,date_in_Fraction,daily total sunspot number,daily std dev,number of stations,definitive/provisional marker
240,1997,8,29,1997.659,51,4.6,22,0
241,1997,8,30,1997.662,63,6.8,21,0
242,1997,8,31,1997.664,78,7.1,25,0
243,1997,9,1,1997.667,76,7.4,24,0
244,1997,9,2,1997.67,69,7.0,25,0
245,1997,9,3,1997.673,56,4.7,22,0
246,1997,9,4,1997.675,49,4.4,20,0
247,1997,9,5,1997.678,58,5.4,22,0
248,1997,9,6,1997.681,65,4.3,21,0
249,1997,9,7,1997.684,79,3.2,19,0
250,1997,9,8,1997.686,101,4.1,21,0
251,1997,9,9,1997.689,106,5.8,23,0
252,1997,9,10,1997.692,108,8.6,25,0
253,1997,9,11,1997.695,100,5.5,25,0
254,1997,9,12,1997.697,103,8.3,21,0
255,1997,9,13,1997.7,99,6.2,22,0
256,1997,9,14,1997.703,82,5.5,20,0
257,1997,9,15,1997.705,76,4.2,21,0
258,1997,9,16,1997.708,71,3.5,22,0
259,1997,9,17,1997.711,57,4.0,23,0
260,1997,9,18,1997.714,38,2.5,24,0
261,1997,9,19,1997.716,19,0.9,19,0
262,1997,9,20,1997.719,16,1.4,24,0
263,1997,9,21,1997.722,30,3.7,22,0
264,1997,9,22,1997.725,52,4.2,23,0
265,1997,9,23,1997.727,49,2.5,21,0
266,1997,9,24,1997.73,49,4.4,24,0
267,1997,9,25,1997.733,57,2.5,21,0
268,1997,9,26,1997.736,30,4.1,18,0
269,1997,9,27,1997.738,35,4.3,22,0
270,1997,9,28,1997.741,21,2.2,22,0
271,1997,9,29,1997.744,19,2.8,27,0
272,1997,9,30,1997.747,22,2.6,18,0
273,1997,10,1,1997.749,36,2.8,22,0
274,1997,10,2,1997.752,30,2.0,20,0
275,1997,10,3,1997.755,30,2.6,22,0
276,1997,10,4,1997.758,30,2.3,17,0
277,1997,10,5,1997.76,30,1.5,15,0
278,1997,10,6,1997.763,26,1.4,21,0
279,1997,10,7,1997.766,24,3.6,23,0
280,1997,10,8,1997.768,23,3.8,16,0
281,1997,10,9,1997.771,29,4.9,18,0
282,1997,10,10,1997.774,32,4.2,20,0
283,1997,10,11,1997.777,35,2.7,17,0
284,1997,10,12,1997.779,36,3.5,17,0
285,1997,10,13,1997.782,42,4.7,19,0
286,1997,10,14,1997.785,35,4.0,22,0
287,1997,10,15,1997.788,40,4.0,18,0
288,1997,10,16,1997.79,49,4.3,20,0
289,1997,10,17,1997.793,58,3.0,23,0
290,1997,10,18,1997.796,50,3.9,22,0
291,1997,10,19,1997.799,36,2.9,24,0
292,1997,10,20,1997.801,30,2.2,18,0
293,1997,10,21,1997.804,29,1.9,20,0
294,1997,10,22,1997.807,13,1.6,21,0
295,1997,10,23,1997.81,0,2.0,19,0
296,1997,10,24,1997.812,14,5.7,23,0
297,1997,10,25,1997.815,16,4.1,20,0
298,1997,10,26,1997.818,16,3.7,19,0
299,1997,10,27,1997.821,33,5.7,22,0
300,1997,10,28,1997.823,47,4.7,21,0
301,1997,10,29,1997.826,43,2.7,22,0
302,1997,10,30,1997.829,55,3.9,22,0
303,1997,10,31,1997.832,50,4.6,20,0
304,1997,11,1,1997.834,56,3.6,19,0
305,1997,11,2,1997.837,68,3.2,14,0
306,1997,11,3,1997.84,70,7.9,20,0
307,1997,11,4,1997.842,76,6.9,20,0
308,1997,11,5,1997.845,66,6.5,13,0
309,1997,11,6,1997.848,65,7.4,11,0
310,1997,11,7,1997.851,56,5.1,14,0
311,1997,11,8,1997.853,48,4.8,19,0
312,1997,11,9,1997.856,32,3.3,23,0
313,1997,11,10,1997.859,25,2.6,18,0
314,1997,11,11,1997.862,37,3.2,16,0
315,1997,11,12,1997.864,26,3.7,18,0
316,1997,11,13,1997.867,34,4.2,13,0
317,1997,11,14,1997.87,49,2.7,12,0
318,1997,11,15,1997.873,39,2.8,13,0
319,1997,11,16,1997.875,37,2.6,16,0
320,1997,11,17,1997.878,57,4.7,10,0
321,1997,11,18,1997.881,56,4.6,24,0
322,1997,11,19,1997.884,56,3.3,17,0
323,1997,11,20,1997.886,52,3.5,18,0
324,1997,11,21,1997.889,53,4.6,15,0
325,1997,11,22,1997.892,61,4.6,12,0
326,1997,11,23,1997.895,71,3.7,16,0
327,1997,11,24,1997.897,63,8.3,16,0
328,1997,11,25,1997.9,39,4.1,18,0
329,1997,11,26,1997.903,34,4.2,14,0
330,1997,11,27,1997.905,40,2.8,15,0
331,1997,11,28,1997.908,43,4.8,10,0
332,1997,11,29,1997.911,50,2.9,11,0
333,1997,11,30,1997.914,54,6.2,10,0
334,1997,12,1,1997.916,62,5.9,16,0
335,1997,12,2,1997.919,55,6.6,8,0
336,1997,12,3,1997.922,45,3.7,15,0
337,1997,12,4,1997.925,49,3.8,14,0
338,1997,12,5,1997.927,43,4.7,18,0
339,1997,12,6,1997.93,51,4.4,14,0
340,1997,12,7,1997.933,54,5.7,14,0
341,1997,12,8,1997.936,78,4.0,10,0
342,1997,12,9,1997.938,90,7.9,11,0
343,1997,12,10,1997.941,77,4.3,13,0
344,1997,12,11,1997.944,82,5.1,12,0
345,1997,12,12,1997.947,92,5.3,12,0
346,1997,12,13,1997.949,71,5.2,19,0
347,1997,12,14,1997.952,57,4.4,16,0
348,1997,12,15,1997.955,55,3.1,12,0
349,1997,12,16,1997.958,47,4.0,15,0
350,1997,12,17,1997.96,46,4.5,11,0
351,1997,12,18,1997.963,27,3.4,12,0
352,1997,12,19,1997.966,20,1.6,11,0
353,1997,12,20,1997.968,26,2.6,13,0
354,1997,12,21,1997.971,30,4.0,12,0
355,1997,12,22,1997.974,43,2.0,9,0
356,1997,12,23,1997.977,61,6.5,10,0
357,1997,12,24,1997.979,70,8.9,11,0
358,1997,12,25,1997.982,57,4.0,16,0
359,1997,12,26,1997.985,50,3.6,15,0
